@relation flare-F
@attribute LargestSpotSize {A, R, S, X, K, H}
@attribute SpotDistribution {X, O, I, C}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Prev24Hour {1, 2, 3}
@attribute HistComplex {1, 2}
@attribute BecomeHist {1, 2}
@attribute Area {1, 2}
@attribute C-class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute M-class {0, 1, 2, 3, 4, 5}
@attribute X-class {0, 1, 2}
@attribute Class {positive, negative}
@data
A, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, negative
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
S, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 5, 0, 0, negative
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
X, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 2, 1, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
R, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, negative
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, negative
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, negative
