@relation plastic
@attribute Strength real [12.4,48.7]
@attribute Temperature real [200.0,300.0]
@attribute Pressure real [10.0,20.0]
#@inputs Strength, Temperature
#@outputs Pressure
@data
30.7,240,16
24.7,250,18
30.6,260,16
32.8,240,10
20.7,240,20
34.5,260,16
41.9,290,12
36.4,280,12
22.2,200,12
20.7,210,14
30.7,250,14
40.6,280,10
20.5,210,18
34.2,290,18
24.2,220,14
18.8,210,18
36.2,260,10
32.6,270,16
24.6,240,18
43.0,280,10
41.0,300,16
30.6,260,16
41.0,270,10
29.5,220,10
28.2,240,14
20.2,220,18
20.5,210,20
24.6,200,10
29.2,260,16
34.8,260,12
33.9,240,10
41.8,270,10
18.6,210,18
33.2,260,12
31.9,270,18
24.2,250,20
22.2,220,18
27.5,240,16
32.2,260,14
32.6,250,12
34.6,280,16
27.3,230,14
30.2,230,12
24.2,240,18
24.4,250,18
22.8,200,12
28.7,250,14
32.2,280,18
28.7,260,16
44.7,300,14
35.3,290,18
32.2,250,14
37.3,280,14
26.5,220,14
36.5,280,16
41.5,290,12
42.6,300,12
38.5,280,14
36.2,300,18
21.3,200,14
30.1,220,10
26.7,200,12
22.8,230,18
30.2,260,18
23.8,230,20
31.7,250,12
26.2,240,16
32.7,280,16
18.6,220,20
39.5,270,10
23.7,240,18
40.4,300,12
34.7,270,18
31.7,280,18
27.2,250,16
22.8,220,16
37.5,290,16
29.3,270,20
30.3,250,14
25.7,260,20
41.0,290,14
26.2,200,10
26.6,220,12
32.6,240,10
34.2,250,10
27.3,240,16
16.2,210,20
33.8,260,16
30.7,210,10
16.6,210,20
39.8,270,12
28.2,220,10
36.2,280,14
36.2,280,14
29.7,260,16
26.2,210,10
44.1,300,12
33.5,260,14
32.8,260,14
30.8,270,18
20.6,200,14
32.7,280,18
33.7,280,16
31.7,250,12
33.0,270,18
26.7,260,18
26.8,220,12
34.4,290,16
34.7,290,16
30.7,260,14
28.8,270,20
30.5,230,12
20.7,220,18
20.3,220,18
24.7,220,14
22.2,210,14
27.9,210,10
29.0,210,10
35.5,280,14
26.1,220,14
34.4,280,14
26.5,250,20
32.2,260,14
27.9,260,20
22.6,240,20
22.7,210,12
26.6,220,12
26.2,210,10
28.1,210,10
25.3,250,20
36.6,300,18
32.7,240,14
30.6,280,20
23.7,230,16
27.0,200,10
36.2,300,18
17.2,210,18
28.5,250,18
22.5,230,20
34.8,290,18
30.2,260,16
33.7,280,16
36.5,240,10
41.5,300,14
34.7,230,10
25.5,210,10
26.4,220,10
24.1,200,12
43.5,300,12
28.7,260,16
30.2,260,16
32.2,240,10
33.7,260,12
46.7,300,12
38.1,260,10
37.8,270,14
32.6,250,12
34.1,270,16
28.2,270,20
42.7,280,12
38.7,300,20
40.6,300,14
38.7,290,14
26.7,250,16
25.7,230,14
35.5,250,10
29.7,240,12
41.8,300,16
32.7,250,12
29.9,260,18
