@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0, 8025.0]
@attribute A3 real [0.0, 26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0, 14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0, 67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0, 2000]
@attribute A15 integer [0, 100000]
@attribute Class {positive, negative}
@data
b,3083.0,0.0,u,g,w,v,125.0,t,t,1,f,g,202,0,positive
a,5867.0,446.0,u,g,q,h,304.0,t,t,6,f,g,43,560,positive
a,245.0,5.0,u,g,q,h,15.0,t,f,0,f,g,280,824,positive
b,2783.0,154.0,u,g,w,v,375.0,t,t,5,t,g,100,3,positive
b,2017.0,5625.0,u,g,w,v,171.0,t,f,0,f,s,120,0,positive
b,3208.0,4.0,u,g,m,v,25.0,t,f,0,t,g,360,0,positive
b,3317.0,104.0,u,g,r,h,65.0,t,f,0,t,g,164,31285,positive
a,2292.0,11585.0,u,g,cc,v,4.0,t,f,0,f,g,80,1349,positive
b,5442.0,5.0,y,p,k,h,396.0,t,f,0,f,g,180,314,positive
b,425.0,4915.0,y,p,w,v,3165.0,t,f,0,t,g,52,1442,positive
b,2208.0,83.0,u,g,c,h,2165.0,f,f,0,t,g,128,0,positive
b,2992.0,1835.0,u,g,c,h,4335.0,t,f,0,f,g,260,200,positive
a,3825.0,6.0,u,g,k,v,1.0,t,f,0,t,g,0,0,positive
b,4808.0,604.0,u,g,k,v,4.0,f,f,0,f,g,0,2690,positive
a,4583.0,105.0,u,g,q,v,5.0,t,t,7,t,g,0,0,positive
b,3667.0,4415.0,y,p,k,v,25.0,t,t,10,t,g,320,0,positive
b,2825.0,875.0,u,g,m,v,96.0,t,t,3,t,g,396,0,positive
