@relation kr-vs-k-one_vs_draw
@attribute White_king_col {a, b, c, d, e, f, g, h}
@attribute White_king_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute White_rook_col {a, b, c, d, e, f, g, h}
@attribute White_rook_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute Black_king_col {a, b, c, d, e, f, g, h}
@attribute Black_king_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute Class {positive, negative}
@data
c,1,a,3,a,1,positive
c,1,a,4,a,1,positive
c,1,a,5,a,1,positive
c,1,a,6,a,1,positive
c,1,a,7,a,1,positive
c,1,a,8,a,1,positive
c,2,a,3,a,1,positive
c,2,a,4,a,1,positive
c,2,a,4,a,2,positive
c,2,a,5,a,1,positive
c,2,a,5,a,2,positive
c,2,a,6,a,1,positive
c,2,a,6,a,2,positive
c,2,a,7,a,1,positive
c,2,a,7,a,2,positive
c,2,a,8,a,1,positive
c,2,a,8,a,2,positive
c,3,a,1,c,1,positive
c,3,e,1,c,1,positive
c,3,f,1,c,1,positive
c,3,g,1,c,1,positive
c,3,h,1,c,1,positive
d,3,a,1,d,1,positive
d,3,b,1,d,1,positive
d,3,f,1,d,1,positive
d,3,g,1,d,1,positive
d,3,h,1,d,1,positive
c,1,c,3,a,2,positive
c,1,d,3,a,2,positive
c,1,e,3,a,2,positive
c,1,f,3,a,2,positive
c,1,g,3,a,2,positive
c,1,h,3,a,2,positive
c,2,b,3,a,2,positive
c,2,b,4,a,1,positive
c,2,b,5,a,1,positive
c,2,b,6,a,1,positive
c,2,b,7,a,1,positive
c,2,b,8,a,1,positive
c,2,c,3,a,2,positive
c,2,c,4,a,1,positive
c,2,c,4,a,3,positive
c,2,c,5,a,1,positive
c,2,c,6,a,1,positive
c,2,c,7,a,1,positive
c,2,c,8,a,1,positive
c,2,d,3,a,2,positive
c,2,d,4,a,1,positive
c,2,d,4,a,3,positive
c,2,d,5,a,1,positive
c,2,d,6,a,1,positive
c,2,d,7,a,1,positive
c,2,d,8,a,1,positive
c,2,e,3,a,2,positive
c,2,e,4,a,1,positive
c,2,e,4,a,3,positive
c,2,e,5,a,1,positive
c,2,e,6,a,1,positive
