@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@data
91.0,70,1955,20.5,71,26.0
232.0,100,2789,15.0,73,18.0
350.0,145,4055,12.0,76,13.0
318.0,140,4080,13.7,78,17.5
113.0,95,2372,15.0,70,24.0
97.0,60,1834,19.0,71,27.0
350.0,180,4380,12.1,76,16.5
400.0,150,4464,12.0,73,13.0
225.0,105,3439,15.5,71,16.0
173.0,115,2595,11.3,79,28.8
70.0,90,2124,13.5,73,18.0
97.0,78,2188,15.8,80,34.3
86.0,65,1975,15.2,79,34.1
351.0,142,4054,14.3,79,15.5
350.0,105,3725,19.0,81,26.6
156.0,108,2930,15.5,76,19.0
115.0,95,2694,15.0,75,23.0
231.0,115,3245,15.4,79,21.5
198.0,95,3102,16.5,74,20.0
140.0,89,2755,15.8,77,25.5
121.0,76,2511,18.0,72,22.0
85.0,65,2110,19.2,80,40.8
250.0,100,3336,17.0,74,15.0
112.0,88,2395,18.0,82,34.0
429.0,198,4341,10.0,70,15.0
168.0,120,3820,16.7,76,16.5
225.0,100,3430,17.2,78,20.5
107.0,75,2205,14.5,82,36.0
97.0,54,2254,23.5,72,23.0
304.0,193,4732,18.5,70,9.0
140.0,72,2401,19.5,73,21.0
71.0,65,1836,21.0,74,32.0
90.0,75,2125,14.5,74,28.0
91.0,60,1800,16.4,78,36.1
98.0,65,2045,16.2,81,34.4
98.0,66,1800,14.4,78,36.1
351.0,153,4129,13.0,72,14.0
318.0,150,3940,13.2,76,13.0
120.0,87,2979,19.5,72,21.0
116.0,90,2123,14.0,71,28.0
85.0,70,2070,18.6,78,39.4
85.0,70,1990,17.0,76,32.0
250.0,105,3897,18.5,75,16.0
151.0,90,2950,17.3,82,27.0
79.0,58,1825,18.6,77,36.0
250.0,88,3021,16.5,73,18.0
156.0,122,2807,13.5,73,20.0
225.0,95,3785,19.0,75,18.0
90.0,71,2223,16.5,75,25.0
112.0,85,2575,16.2,82,31.0
350.0,180,3664,11.0,73,11.0
400.0,230,4278,9.5,73,16.0
440.0,215,4312,8.5,70,14.0
151.0,90,2678,16.5,80,28.0
168.0,116,2900,12.6,81,25.4
225.0,100,3630,17.7,77,19.0
140.0,86,2790,15.6,82,27.0
231.0,110,3907,21.0,75,17.0
