@relation wankara
@attribute Max_temperature real [23.0, 100.0]
@attribute Min_temperature real [-7.1, 65.5]
@attribute Dewpoint real [-3.1, 57.6]
@attribute Precipitation real [0.0, 4.0]
@attribute Sea_level_pressure real [29.46, 30.6]
@attribute Standard_pressure real [26.3, 27.18]
@attribute Visibility real [0.2, 11.5]
@attribute Wind_speed real [0.0, 18.0]
@attribute Max_wind_speed real [2.19, 57.4]
@attribute Mean_temperature real [7.9, 81.8]
@data
78.8,51.8,51.8,0.3,29.99,26.89,8.2,11,32.2,65.2
52.2,29.8,32.7,0,30.06,26.8,6.1,3.57,11.3,40.3
83.1,57.2,45.2,0,29.87,26.75,8.5,10.9,17.2,69.9
43.2,33.8,35.6,0.2,29.83,26.6,6.8,8.63,13.8,38.6
43.7,32,32.9,0.3,29.85,26.6,7.5,5.41,9.21,39.5
41,25.9,25.8,0,30.06,26.74,8.5,4.83,10.2,32.9
69.8,37.8,33.7,0,30.04,26.84,8.7,2.19,9.21,52
86.7,55.4,50.2,0,29.8,26.75,8.9,6.33,11.3,73
47.3,26.6,30.3,0,30.14,26.84,6.2,5.06,12.7,35.2
34.3,23,24.6,0.1,29.76,26.47,7.2,4.14,11.3,29.2
41,32,35.7,0.05,29.73,26.51,5.9,4.49,13.8,38.7
47.1,33.8,33.9,0,29.87,26.62,6.3,3.45,11.3,39.2
71.2,34.2,37.1,0,30.17,26.97,8.3,1.38,8.06,53.1
48.2,38.1,38.2,0,30.18,26.93,7.3,7.14,12.7,43.3
51.8,19.2,25.2,0,30.29,26.96,4.8,0,13.31,33.1
89.6,55.4,45.3,0,29.6,26.59,8.5,5.18,13.8,75.6
55,24.1,26.8,0,29.94,26.66,7.1,6.67,17.2,40.2
74.1,58.3,54.1,0.6,29.76,26.67,9,9.78,13.8,64.6
42.8,28.4,28.5,0.1,30.01,26.76,7.9,10.2,18.3,36.5
68.7,34.9,35.4,0,29.99,26.79,7.9,1.96,10.2,51.1
41.7,28.4,33.3,0,30.25,26.92,0.8,1.04,17.2,34.9
34.5,17.6,19.4,0,30.15,26.81,6.7,2.99,10.2,27
50.7,29.7,27,0,30.24,26.99,8.5,7.37,17.2,39.4
68.7,31.5,31.2,0,30.04,26.84,7.9,2.76,11.3,50
88.2,53.2,45.4,0,29.74,26.69,8.6,3.68,8.06,72
42.4,22.3,26.2,0,30.31,26.95,4.5,0.92,8.06,30.7
89.6,49.6,42.7,0,29.85,26.8,8.2,4.26,13.31,71.8
59,30.7,36.9,0.8,29.96,26.72,7.8,4.14,10.2,47.3
63.3,33.8,37.9,0,30.12,26.91,8.7,6.67,13.8,51.5
56.8,41,41.4,0,30.19,26.98,8.9,2.65,8.06,48.5
65.1,48.2,48.3,0.2,29.86,26.72,8.5,5.52,11.3,56.3
93.2,60.3,48,0,29.56,26.57,8.5,5.52,13.8,77.8
39.9,32,31.9,0.3,29.92,26.69,6,5.41,12.7,35.9
63.7,45.3,44,0.2,29.84,26.67,8.5,8.29,12.7,53.7
62.6,30.2,30.4,0.1,30.04,26.8,10,8.29,19.4,46.3
48.2,24.8,28.4,0,30.23,26.97,7.3,3.68,9.21,37.2
60.1,29.8,36.5,0,29.88,26.67,7.8,5.18,12.7,47.3
84.2,49.1,36,0,29.96,26.83,8.2,5.87,14.9,68.7
50,42.8,43.3,0.1,29.95,26.73,8.3,7.6,12.7,46.8
42.8,30.2,28.5,0,29.93,26.65,8.8,2.99,8.06,36.6
41.4,22.3,17.2,0,30.13,26.78,8,6.56,12.7,31.6
33.6,10.9,11.3,0,29.98,26.6,7.8,4.26,17.2,21.8
54.5,29.5,35.7,0,29.92,26.68,6.5,1.96,6.9,41.3
43.2,32,32.5,0,29.73,26.52,6.2,7.83,14.9,37
48.6,37,38.6,0,29.75,26.52,8.7,7.25,12.7,43.8
48.2,28.4,34.3,0,30.2,26.89,4.7,4.14,11.3,37.8
64.4,23,21.5,0.1,29.86,26.65,8.3,4.6,13.8,44.9
93.9,50,41,0,29.76,26.64,8.5,2.65,9.21,75.4
46.4,27.9,26.2,0,30.25,26.93,8.2,9.78,14.9,35.6
34.5,22.6,25.4,0.2,30.35,27.03,1.8,0.46,4.72,27.7
73.9,51.8,49.2,0,30,26.89,8.8,8.98,19.4,63.6
51.4,24.4,31.6,0,30.28,26.96,4.9,4.49,12.7,36.5
73.4,44.1,45.6,0,29.96,26.79,8.9,2.88,8.06,60.8
77.4,44.6,46.9,0,30.09,26.91,8.5,2.88,9.21,61.5
39.9,24.1,24.8,0.05,29.94,26.69,8,9.55,14.9,32
47.5,29.8,32.3,0,30.25,26.98,5.8,3.11,10.2,37.1
42.1,20.7,24.8,0,30.22,26.93,6.6,0.92,8.06,29.5
28.4,6.8,10.5,0.2,30.27,26.93,8.4,6.1,12.7,20.1
86.7,51.8,46.4,0,29.87,26.74,8.6,3.34,11.3,69.6
36.7,27.3,27.5,0,30.32,26.97,4.4,1.61,8.06,32.5
41,21.2,23.2,0,30.21,26.85,7.9,5.87,13.8,31.8
72.3,37.4,43,0,30.09,26.9,8.4,3.91,11.3,56.7
38.1,28,27.7,0,30.3,26.96,3.1,0.81,4.72,32.8
54.3,22.5,29.5,0,30.33,27.04,3.5,0.69,5.87,34.9
56.3,32.7,38.1,0,30.06,26.82,4.5,2.76,8.06,44.9
54,44.6,38.3,0.7,29.93,26.74,9.3,9.9,20.8,47.7
48.9,25.9,27.4,0,30.01,26.73,7.6,8.4,17.2,39.8
37.9,24.8,22.9,0,30.12,26.78,6.9,4.83,11.3,30.6
56.1,30.2,37,0,30.06,26.79,5.2,3.34,10.2,40.8
48.6,26.6,30,0.05,30.03,26.77,5.3,2.99,8.06,36.9
44.6,20.7,24.4,0,30.19,26.91,5.7,2.53,12.7,31.1
70.5,37.8,40.2,0,29.91,26.74,8.7,4.37,12.7,53.7
38.1,20.5,14.1,0,30.22,26.87,8.9,4.14,13.31,27.5
41.4,16.5,17.2,0,30.39,26.98,6.8,4.83,13.8,28.2
58.6,35.6,39.3,0.1,29.71,26.53,7.9,12.8,26.3,46.8
67.3,53.4,49.3,0.3,29.53,26.46,8.6,6.33,18.3,60.6
74.1,30.7,41.3,0,29.98,26.82,7.5,5.75,16.1,57.2
71.6,41,39.2,0,29.98,26.83,7,7.48,19.4,59
55,44.4,42.5,0,29.86,26.67,7.7,7.6,13.8,48.1
51.8,24.8,29,0,30.24,26.93,7.1,2.76,13.31,38.5
65.1,51.1,50,0.1,29.87,26.73,8.2,4.14,16.1,56.4
64.2,37.4,38.7,0.3,29.97,26.78,8.8,4.14,9.21,51.5
88.3,59,47.4,0,29.77,26.73,8.4,7.25,13.8,74.3
78.8,55,44.3,0,29.82,26.73,8.7,10.3,13.8,66.4
45.3,19.2,24.6,0,30.09,26.8,6.2,0.81,6.9,31.1
61.9,29.1,36.4,0.05,30.14,26.91,7.2,4.95,17.2,46.8
