@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F, 0.68, 0.55, 0.175, 1.798, 0.815, 0.3925, 0.455, positive
M, 0.7, 0.535, 0.16, 1.7255, 0.63, 0.2635, 0.54, positive
M, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, positive
F, 0.565, 0.455, 0.175, 1.013, 0.342, 0.207, 0.35, positive
M, 0.595, 0.455, 0.195, 1.3305, 0.4595, 0.3235, 0.345, positive
M, 0.63, 0.515, 0.16, 1.016, 0.4215, 0.244, 0.355, positive
F, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, positive
M, 0.6, 0.5, 0.16, 1.015, 0.3995, 0.1735, 0.33, positive
F, 0.505, 0.425, 0.14, 0.85, 0.275, 0.1625, 0.285, positive
F, 0.58, 0.46, 0.15, 0.9955, 0.429, 0.212, 0.26, positive
F, 0.605, 0.485, 0.165, 1.0105, 0.435, 0.209, 0.3, positive
F, 0.645, 0.525, 0.19, 1.4635, 0.6615, 0.3435, 0.435, positive
F, 0.66, 0.52, 0.18, 1.514, 0.526, 0.2975, 0.42, positive
F, 0.59, 0.45, 0.16, 0.9, 0.358, 0.156, 0.315, positive
I, 0.45, 0.355, 0.12, 0.412, 0.1145, 0.0665, 0.16, positive
M, 0.5, 0.38, 0.155, 0.66, 0.2655, 0.1365, 0.215, positive
M, 0.57, 0.405, 0.16, 0.9245, 0.3445, 0.2185, 0.295, positive
F, 0.6, 0.475, 0.18, 1.1805, 0.4345, 0.2475, 0.425, positive
M, 0.59, 0.475, 0.16, 0.9455, 0.3815, 0.184, 0.27, positive
M, 0.695, 0.57, 0.23, 1.885, 0.8665, 0.435, 0.5, positive
M, 0.54, 0.41, 0.145, 0.989, 0.2815, 0.213, 0.355, positive
F, 0.69, 0.555, 0.205, 1.8165, 0.7785, 0.4395, 0.515, positive
F, 0.705, 0.555, 0.2, 1.4685, 0.4715, 0.3235, 0.52, positive
F, 0.58, 0.44, 0.175, 1.073, 0.4005, 0.2345, 0.335, positive
M, 0.54, 0.405, 0.155, 0.9715, 0.3225, 0.194, 0.29, positive
M, 0.545, 0.435, 0.165, 0.9955, 0.3245, 0.2665, 0.325, positive
M, 0.645, 0.515, 0.185, 1.4605, 0.5835, 0.3155, 0.41, positive
M, 0.525, 0.395, 0.165, 0.782, 0.285, 0.1405, 0.285, positive
I, 0.52, 0.39, 0.14, 0.7325, 0.2415, 0.144, 0.26, positive
F, 0.55, 0.44, 0.15, 0.8945, 0.3145, 0.151, 0.32, positive
F, 0.53, 0.41, 0.165, 0.8115, 0.24, 0.169, 0.24, positive
M, 0.69, 0.55, 0.2, 1.8465, 0.732, 0.472, 0.57, positive
M, 0.44, 0.365, 0.125, 0.516, 0.2155, 0.114, 0.155, negative
M, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, negative
F, 0.535, 0.405, 0.145, 0.6845, 0.2725, 0.171, 0.205, negative
F, 0.47, 0.355, 0.1, 0.4755, 0.1675, 0.0805, 0.185, negative
F, 0.44, 0.34, 0.1, 0.451, 0.188, 0.087, 0.13, negative
I, 0.38, 0.275, 0.1, 0.2255, 0.08, 0.049, 0.085, negative
M, 0.58, 0.47, 0.165, 0.9975, 0.3935, 0.242, 0.33, negative
M, 0.485, 0.36, 0.13, 0.5415, 0.2595, 0.096, 0.16, negative
F, 0.47, 0.36, 0.12, 0.4775, 0.2105, 0.1055, 0.15, negative
F, 0.53, 0.41, 0.13, 0.6965, 0.302, 0.1935, 0.2, negative
F, 0.475, 0.39, 0.12, 0.5305, 0.2135, 0.1155, 0.17, negative
F, 0.6, 0.47, 0.15, 0.922, 0.363, 0.194, 0.305, negative
M, 0.56, 0.44, 0.16, 0.8645, 0.3305, 0.2075, 0.26, negative
F, 0.625, 0.495, 0.165, 1.262, 0.507, 0.318, 0.39, negative
F, 0.475, 0.375, 0.125, 0.5785, 0.2775, 0.085, 0.155, negative
F, 0.5, 0.4, 0.125, 0.6675, 0.261, 0.1315, 0.22, negative
M, 0.44, 0.34, 0.105, 0.402, 0.1305, 0.0955, 0.165, negative
F, 0.565, 0.445, 0.155, 0.826, 0.341, 0.2055, 0.2475, negative
F, 0.55, 0.45, 0.145, 0.741, 0.295, 0.1435, 0.2665, negative
M, 0.475, 0.375, 0.13, 0.5175, 0.2075, 0.1165, 0.17, negative
F, 0.49, 0.38, 0.125, 0.549, 0.245, 0.1075, 0.174, negative
M, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, negative
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, negative
F, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, negative
M, 0.515, 0.405, 0.13, 0.722, 0.32, 0.131, 0.21, negative
F, 0.56, 0.45, 0.16, 1.0235, 0.429, 0.268, 0.3, negative
F, 0.62, 0.475, 0.175, 1.0165, 0.4355, 0.214, 0.325, negative
F, 0.63, 0.5, 0.185, 1.383, 0.54, 0.3315, 0.38, negative
F, 0.51, 0.4, 0.14, 0.8145, 0.459, 0.1965, 0.195, negative
M, 0.585, 0.46, 0.185, 0.922, 0.3635, 0.213, 0.285, negative
F, 0.49, 0.365, 0.145, 0.6345, 0.1995, 0.1625, 0.22, negative
M, 0.47, 0.36, 0.135, 0.501, 0.1665, 0.115, 0.165, negative
I, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, negative
I, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, negative
M, 0.545, 0.46, 0.16, 0.8975, 0.341, 0.1655, 0.345, negative
F, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, negative
M, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, negative
F, 0.535, 0.435, 0.16, 0.8105, 0.3155, 0.1795, 0.24, negative
M, 0.57, 0.435, 0.145, 0.9055, 0.3925, 0.2355, 0.275, negative
M, 0.45, 0.35, 0.1, 0.3675, 0.1465, 0.1015, 0.12, negative
F, 0.58, 0.455, 0.12, 1.0735, 0.479, 0.2735, 0.265, negative
F, 0.585, 0.45, 0.16, 1.077, 0.4995, 0.2875, 0.25, negative
M, 0.535, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, negative
M, 0.545, 0.425, 0.135, 0.8445, 0.373, 0.21, 0.235, negative
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.1225, 0.145, negative
I, 0.415, 0.325, 0.1, 0.3215, 0.1535, 0.0595, 0.105, negative
M, 0.475, 0.375, 0.125, 0.593, 0.277, 0.115, 0.18, negative
F, 0.47, 0.375, 0.125, 0.5615, 0.252, 0.137, 0.18, negative
F, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, negative
F, 0.515, 0.415, 0.14, 0.6935, 0.3115, 0.152, 0.2, negative
I, 0.36, 0.275, 0.11, 0.2335, 0.095, 0.0525, 0.085, negative
I, 0.395, 0.295, 0.1, 0.2715, 0.134, 0.0325, 0.085, negative
F, 0.41, 0.325, 0.105, 0.3635, 0.159, 0.077, 0.12, negative
I, 0.415, 0.31, 0.11, 0.2965, 0.123, 0.057, 0.0995, negative
F, 0.515, 0.405, 0.12, 0.646, 0.2895, 0.1405, 0.177, negative
F, 0.545, 0.415, 0.16, 0.7715, 0.272, 0.1455, 0.2765, negative
M, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, negative
I, 0.68, 0.53, 0.185, 1.1095, 0.439, 0.245, 0.34, negative
F, 0.49, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, negative
I, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, negative
F, 0.375, 0.29, 0.115, 0.2705, 0.093, 0.066, 0.0885, negative
F, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, negative
I, 0.5, 0.385, 0.15, 0.6265, 0.2605, 0.1665, 0.16, negative
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, negative
I, 0.61, 0.475, 0.15, 0.9665, 0.4145, 0.2, 0.345, negative
I, 0.56, 0.425, 0.14, 0.9175, 0.4005, 0.1975, 0.26, negative
F, 0.585, 0.435, 0.175, 0.982, 0.4055, 0.2495, 0.27, negative
I, 0.52, 0.425, 0.17, 0.6805, 0.28, 0.174, 0.195, negative
F, 0.385, 0.315, 0.11, 0.286, 0.1225, 0.0635, 0.0835, negative
I, 0.485, 0.37, 0.13, 0.458, 0.181, 0.113, 0.136, negative
M, 0.37, 0.285, 0.1, 0.228, 0.0675, 0.0675, 0.081, negative
M, 0.345, 0.255, 0.08, 0.169, 0.06, 0.0425, 0.054, negative
F, 0.425, 0.335, 0.095, 0.322, 0.1205, 0.061, 0.125, negative
M, 0.34, 0.265, 0.085, 0.1835, 0.077, 0.046, 0.065, negative
M, 0.46, 0.365, 0.125, 0.467, 0.1895, 0.0945, 0.158, negative
F, 0.37, 0.28, 0.11, 0.2305, 0.0945, 0.0465, 0.075, negative
F, 0.415, 0.34, 0.13, 0.3675, 0.146, 0.0885, 0.12, negative
F, 0.395, 0.295, 0.095, 0.2245, 0.078, 0.054, 0.08, negative
M, 0.485, 0.37, 0.14, 0.5725, 0.204, 0.1415, 0.175, negative
M, 0.51, 0.4, 0.14, 0.6515, 0.2455, 0.1665, 0.185, negative
M, 0.5, 0.375, 0.15, 0.636, 0.2535, 0.145, 0.19, negative
M, 0.415, 0.325, 0.14, 0.417, 0.1535, 0.1015, 0.144, negative
F, 0.345, 0.26, 0.09, 0.207, 0.0775, 0.0435, 0.0765, negative
M, 0.36, 0.295, 0.13, 0.2765, 0.0895, 0.057, 0.1005, negative
M, 0.4, 0.305, 0.085, 0.297, 0.108, 0.0705, 0.1, negative
M, 0.51, 0.39, 0.125, 0.6565, 0.262, 0.1835, 0.175, negative
M, 0.445, 0.345, 0.09, 0.3795, 0.143, 0.074, 0.125, negative
M, 0.485, 0.355, 0.12, 0.547, 0.215, 0.1615, 0.14, negative
M, 0.49, 0.38, 0.14, 0.7605, 0.245, 0.167, 0.185, negative
M, 0.515, 0.435, 0.145, 0.8815, 0.292, 0.206, 0.255, negative
F, 0.57, 0.465, 0.16, 0.8935, 0.3145, 0.2575, 0.263, negative
M, 0.46, 0.34, 0.135, 0.495, 0.1655, 0.117, 0.185, negative
M, 0.45, 0.335, 0.125, 0.349, 0.119, 0.1055, 0.115, negative
M, 0.515, 0.38, 0.135, 0.6615, 0.2875, 0.2095, 0.155, negative
F, 0.44, 0.34, 0.13, 0.4195, 0.153, 0.1155, 0.13, negative
F, 0.545, 0.44, 0.135, 0.9185, 0.429, 0.2015, 0.2375, negative
M, 0.55, 0.45, 0.15, 1.0145, 0.407, 0.2015, 0.2875, negative
M, 0.565, 0.45, 0.155, 1.0595, 0.4735, 0.24, 0.265, negative
M, 0.57, 0.435, 0.13, 0.7535, 0.349, 0.1755, 0.194, negative
F, 0.595, 0.48, 0.15, 1.11, 0.498, 0.228, 0.33, negative
F, 0.6, 0.475, 0.155, 1.21, 0.653, 0.1695, 0.3205, negative
F, 0.605, 0.475, 0.175, 1.382, 0.609, 0.2325, 0.3985, negative
F, 0.615, 0.52, 0.15, 1.3435, 0.629, 0.2605, 0.345, negative
F, 0.635, 0.5, 0.15, 1.376, 0.6495, 0.361, 0.31, negative
F, 0.67, 0.585, 0.16, 1.309, 0.5445, 0.2945, 0.413, negative
M, 0.57, 0.45, 0.155, 1.195, 0.5625, 0.2565, 0.295, negative
M, 0.57, 0.45, 0.155, 1.1935, 0.513, 0.21, 0.343, negative
M, 0.58, 0.455, 0.15, 1.012, 0.4985, 0.2115, 0.2835, negative
M, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, negative
F, 0.625, 0.48, 0.17, 1.3525, 0.6235, 0.278, 0.365, negative
M, 0.625, 0.49, 0.175, 1.3325, 0.5705, 0.271, 0.405, negative
F, 0.625, 0.475, 0.175, 1.1435, 0.4755, 0.2475, 0.349, negative
M, 0.635, 0.525, 0.185, 1.4065, 0.684, 0.3, 0.3745, negative
M, 0.64, 0.505, 0.155, 1.4025, 0.705, 0.2655, 0.335, negative
F, 0.64, 0.5, 0.175, 1.394, 0.4935, 0.291, 0.4, negative
F, 0.645, 0.5, 0.155, 1.2205, 0.6145, 0.236, 0.3185, negative
F, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, negative
F, 0.645, 0.515, 0.15, 1.212, 0.515, 0.2055, 0.385, negative
M, 0.65, 0.525, 0.185, 1.622, 0.6645, 0.3225, 0.477, negative
F, 0.655, 0.51, 0.175, 1.6525, 0.8515, 0.3365, 0.403, negative
M, 0.66, 0.495, 0.195, 1.6275, 0.594, 0.3595, 0.485, negative
F, 0.675, 0.57, 0.225, 1.587, 0.739, 0.2995, 0.435, negative
M, 0.69, 0.505, 0.2, 1.872, 0.893, 0.4015, 0.48, negative
F, 0.695, 0.535, 0.175, 1.8385, 0.8035, 0.396, 0.503, negative
M, 0.715, 0.565, 0.175, 1.9525, 0.7645, 0.4185, 0.4135, negative
I, 0.54, 0.42, 0.14, 0.6665, 0.3125, 0.138, 0.1895, negative
M, 0.55, 0.425, 0.15, 0.8315, 0.411, 0.1765, 0.2165, negative
F, 0.575, 0.45, 0.16, 1.068, 0.556, 0.214, 0.2575, negative
I, 0.575, 0.435, 0.13, 0.805, 0.3155, 0.2155, 0.245, negative
M, 0.6, 0.465, 0.155, 1.0165, 0.512, 0.2465, 0.225, negative
M, 0.605, 0.48, 0.17, 1.1835, 0.582, 0.2365, 0.317, negative
M, 0.615, 0.46, 0.17, 1.0565, 0.4815, 0.272, 0.27, negative
M, 0.64, 0.515, 0.165, 1.369, 0.632, 0.3415, 0.358, negative
F, 0.645, 0.48, 0.17, 1.1345, 0.528, 0.254, 0.305, negative
F, 0.655, 0.51, 0.175, 1.415, 0.5885, 0.3725, 0.364, negative
M, 0.685, 0.52, 0.165, 1.519, 0.699, 0.3685, 0.4, negative
M, 0.695, 0.56, 0.185, 1.74, 0.885, 0.3715, 0.4375, negative
M, 0.715, 0.535, 0.19, 1.6755, 0.889, 0.313, 0.42, negative
F, 0.72, 0.58, 0.195, 2.103, 1.0265, 0.48, 0.5375, negative
F, 0.72, 0.55, 0.2, 1.9965, 0.9035, 0.469, 0.5215, negative
I, 0.52, 0.4, 0.13, 0.5825, 0.233, 0.1365, 0.18, negative
I, 0.53, 0.42, 0.155, 0.81, 0.4725, 0.111, 0.192, negative
F, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, negative
I, 0.545, 0.43, 0.15, 0.7285, 0.302, 0.1315, 0.2545, negative
I, 0.55, 0.435, 0.14, 0.7535, 0.3285, 0.1555, 0.2325, negative
I, 0.555, 0.43, 0.155, 0.7395, 0.3135, 0.1435, 0.28, negative
F, 0.56, 0.445, 0.155, 1.224, 0.5565, 0.3225, 0.2695, negative
I, 0.57, 0.45, 0.145, 0.751, 0.2825, 0.2195, 0.2215, negative
M, 0.57, 0.435, 0.17, 0.873, 0.382, 0.183, 0.2705, negative
I, 0.57, 0.44, 0.13, 0.7665, 0.347, 0.1785, 0.202, negative
F, 0.575, 0.42, 0.135, 0.857, 0.461, 0.147, 0.2125, negative
M, 0.58, 0.46, 0.155, 1.4395, 0.6715, 0.273, 0.2955, negative
M, 0.58, 0.455, 0.135, 0.7955, 0.405, 0.167, 0.204, negative
I, 0.585, 0.475, 0.16, 1.0505, 0.48, 0.234, 0.285, negative
M, 0.585, 0.46, 0.165, 1.1135, 0.5825, 0.2345, 0.274, negative
M, 0.585, 0.47, 0.165, 1.409, 0.8, 0.229, 0.295, negative
M, 0.585, 0.475, 0.15, 1.065, 0.5315, 0.199, 0.2885, negative
M, 0.59, 0.455, 0.155, 0.8855, 0.388, 0.188, 0.275, negative
F, 0.595, 0.465, 0.15, 0.98, 0.4115, 0.196, 0.2255, negative
M, 0.6, 0.475, 0.17, 1.1315, 0.508, 0.272, 0.309, negative
F, 0.6, 0.455, 0.145, 0.8895, 0.419, 0.1715, 0.269, negative
M, 0.605, 0.49, 0.14, 0.9755, 0.419, 0.206, 0.315, negative
M, 0.61, 0.45, 0.15, 0.871, 0.407, 0.1835, 0.25, negative
M, 0.61, 0.475, 0.17, 1.0265, 0.435, 0.2335, 0.3035, negative
M, 0.61, 0.48, 0.17, 1.137, 0.4565, 0.29, 0.347, negative
M, 0.61, 0.46, 0.16, 1.0, 0.494, 0.197, 0.275, negative
F, 0.615, 0.475, 0.155, 1.004, 0.4475, 0.193, 0.2895, negative
M, 0.615, 0.47, 0.165, 1.128, 0.4465, 0.2195, 0.34, negative
M, 0.615, 0.5, 0.17, 1.054, 0.4845, 0.228, 0.295, negative
F, 0.615, 0.475, 0.155, 1.115, 0.484, 0.2115, 0.355, negative
M, 0.62, 0.51, 0.175, 1.2815, 0.5715, 0.2385, 0.39, negative
F, 0.62, 0.475, 0.16, 1.1295, 0.463, 0.2685, 0.33, negative
I, 0.63, 0.475, 0.145, 1.0605, 0.5165, 0.2195, 0.28, negative
M, 0.635, 0.49, 0.16, 1.101, 0.534, 0.1865, 0.3455, negative
M, 0.635, 0.475, 0.17, 1.1935, 0.5205, 0.2695, 0.3665, negative
M, 0.64, 0.525, 0.18, 1.3135, 0.4865, 0.2995, 0.4075, negative
M, 0.645, 0.5, 0.195, 1.401, 0.6165, 0.3515, 0.3725, negative
F, 0.65, 0.51, 0.17, 1.567, 0.7245, 0.349, 0.391, negative
F, 0.655, 0.525, 0.19, 1.3595, 0.564, 0.3215, 0.3985, negative
F, 0.655, 0.52, 0.19, 1.4545, 0.6, 0.3865, 0.383, negative
M, 0.655, 0.49, 0.175, 1.3585, 0.6395, 0.294, 0.365, negative
F, 0.66, 0.495, 0.21, 1.548, 0.724, 0.3525, 0.3925, negative
F, 0.66, 0.515, 0.17, 1.337, 0.615, 0.3125, 0.3575, negative
F, 0.665, 0.53, 0.18, 1.491, 0.6345, 0.342, 0.435, negative
F, 0.67, 0.505, 0.175, 1.0145, 0.4375, 0.271, 0.3745, negative
M, 0.625, 0.52, 0.175, 1.4105, 0.691, 0.322, 0.3465, negative
F, 0.63, 0.5, 0.175, 1.1105, 0.467, 0.268, 0.329, negative
F, 0.63, 0.49, 0.225, 1.336, 0.6805, 0.259, 0.3245, negative
F, 0.635, 0.505, 0.145, 1.1345, 0.505, 0.2655, 0.315, negative
F, 0.645, 0.515, 0.175, 1.546, 0.7035, 0.365, 0.415, negative
F, 0.65, 0.545, 0.175, 1.5245, 0.59, 0.326, 0.495, negative
M, 0.65, 0.515, 0.175, 1.466, 0.677, 0.3045, 0.4, negative
M, 0.66, 0.505, 0.165, 1.374, 0.589, 0.351, 0.345, negative
F, 0.665, 0.515, 0.18, 1.389, 0.5945, 0.324, 0.395, negative
M, 0.67, 0.5, 0.19, 1.519, 0.616, 0.388, 0.415, negative
M, 0.705, 0.56, 0.165, 1.675, 0.797, 0.4095, 0.388, negative
I, 0.455, 0.36, 0.115, 0.457, 0.2085, 0.0855, 0.147, negative
I, 0.53, 0.43, 0.135, 0.6255, 0.245, 0.1455, 0.2135, negative
M, 0.54, 0.455, 0.14, 0.972, 0.419, 0.255, 0.269, negative
I, 0.54, 0.425, 0.13, 0.7205, 0.2955, 0.169, 0.225, negative
M, 0.55, 0.435, 0.14, 0.7625, 0.327, 0.1685, 0.259, negative
I, 0.56, 0.445, 0.15, 0.8225, 0.3685, 0.187, 0.236, negative
M, 0.56, 0.425, 0.135, 0.849, 0.3265, 0.221, 0.2645, negative
M, 0.565, 0.43, 0.15, 0.831, 0.4245, 0.1735, 0.219, negative
I, 0.57, 0.43, 0.145, 0.833, 0.354, 0.144, 0.2815, negative
I, 0.575, 0.425, 0.135, 0.7965, 0.364, 0.196, 0.239, negative
F, 0.575, 0.47, 0.155, 1.116, 0.509, 0.238, 0.34, negative
M, 0.575, 0.47, 0.185, 0.985, 0.3745, 0.2175, 0.355, negative
I, 0.575, 0.45, 0.135, 0.807, 0.3615, 0.176, 0.254, negative
M, 0.58, 0.46, 0.155, 1.0335, 0.469, 0.2225, 0.295, negative
M, 0.58, 0.43, 0.13, 0.798, 0.365, 0.173, 0.2285, negative
F, 0.585, 0.445, 0.14, 0.913, 0.4305, 0.2205, 0.253, negative
M, 0.59, 0.49, 0.165, 1.207, 0.559, 0.235, 0.309, negative
I, 0.59, 0.45, 0.145, 1.022, 0.428, 0.268, 0.265, negative
M, 0.595, 0.45, 0.14, 0.838, 0.3965, 0.194, 0.217, negative
M, 0.595, 0.45, 0.145, 0.959, 0.463, 0.2065, 0.2535, negative
F, 0.6, 0.48, 0.18, 1.0645, 0.4495, 0.2455, 0.325, negative
M, 0.6, 0.47, 0.16, 1.194, 0.5625, 0.3045, 0.2635, negative
M, 0.61, 0.475, 0.155, 0.983, 0.4565, 0.228, 0.266, negative
F, 0.61, 0.465, 0.16, 1.0725, 0.4835, 0.2515, 0.28, negative
F, 0.61, 0.475, 0.16, 1.1155, 0.3835, 0.223, 0.379, negative
M, 0.615, 0.47, 0.16, 1.0175, 0.473, 0.2395, 0.28, negative
I, 0.62, 0.45, 0.135, 0.924, 0.358, 0.2265, 0.2965, negative
M, 0.625, 0.475, 0.16, 1.0845, 0.5005, 0.2355, 0.3105, negative
F, 0.625, 0.485, 0.175, 1.362, 0.6765, 0.2615, 0.3705, negative
F, 0.635, 0.49, 0.175, 1.2435, 0.5805, 0.313, 0.305, negative
F, 0.64, 0.505, 0.165, 1.2235, 0.5215, 0.2695, 0.36, negative
M, 0.645, 0.505, 0.15, 1.1605, 0.519, 0.2615, 0.335, negative
M, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, negative
M, 0.645, 0.5, 0.175, 1.3375, 0.554, 0.308, 0.415, negative
F, 0.645, 0.51, 0.19, 1.363, 0.573, 0.362, 0.36, negative
M, 0.655, 0.55, 0.18, 1.274, 0.586, 0.281, 0.365, negative
M, 0.66, 0.53, 0.195, 1.5505, 0.6505, 0.3295, 0.495, negative
F, 0.67, 0.55, 0.155, 1.566, 0.858, 0.339, 0.354, negative
F, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, negative
M, 0.68, 0.52, 0.195, 1.4535, 0.592, 0.391, 0.4125, negative
F, 0.71, 0.54, 0.205, 1.5805, 0.802, 0.287, 0.435, negative
I, 0.465, 0.325, 0.14, 0.7615, 0.362, 0.1535, 0.209, negative
M, 0.525, 0.365, 0.17, 0.9605, 0.438, 0.2225, 0.276, negative
F, 0.545, 0.415, 0.2, 1.358, 0.567, 0.318, 0.403, negative
F, 0.55, 0.38, 0.165, 1.205, 0.543, 0.294, 0.3345, negative
M, 0.55, 0.42, 0.16, 1.3405, 0.6325, 0.311, 0.344, negative
M, 0.575, 0.44, 0.185, 1.025, 0.5075, 0.2245, 0.2485, negative
I, 0.575, 0.45, 0.13, 0.8145, 0.403, 0.1715, 0.213, negative
F, 0.58, 0.43, 0.17, 1.48, 0.6535, 0.324, 0.4155, negative
M, 0.585, 0.455, 0.145, 0.953, 0.3945, 0.2685, 0.258, negative
M, 0.605, 0.475, 0.15, 1.15, 0.575, 0.232, 0.297, negative
F, 0.615, 0.455, 0.145, 1.1155, 0.5045, 0.238, 0.315, negative
M, 0.62, 0.47, 0.145, 1.0865, 0.511, 0.2715, 0.2565, negative
F, 0.635, 0.475, 0.15, 1.1845, 0.533, 0.307, 0.291, negative
M, 0.65, 0.485, 0.16, 1.7395, 0.5715, 0.2785, 0.3075, negative
M, 0.655, 0.545, 0.19, 1.4245, 0.6325, 0.333, 0.378, negative
F, 0.695, 0.55, 0.185, 1.679, 0.805, 0.4015, 0.3965, negative
F, 0.51, 0.4, 0.12, 0.7005, 0.347, 0.1105, 0.195, negative
I, 0.515, 0.415, 0.135, 0.7125, 0.285, 0.152, 0.245, negative
I, 0.515, 0.42, 0.15, 0.6725, 0.2555, 0.1335, 0.235, negative
I, 0.52, 0.385, 0.115, 0.581, 0.2555, 0.156, 0.143, negative
I, 0.545, 0.425, 0.14, 0.8145, 0.305, 0.231, 0.244, negative
I, 0.55, 0.435, 0.14, 0.7995, 0.295, 0.1905, 0.238, negative
M, 0.575, 0.435, 0.135, 0.992, 0.432, 0.2225, 0.239, negative
F, 0.58, 0.5, 0.165, 0.925, 0.37, 0.185, 0.3005, negative
M, 0.58, 0.44, 0.15, 1.0465, 0.518, 0.2185, 0.2795, negative
I, 0.58, 0.44, 0.145, 0.7905, 0.3525, 0.1645, 0.242, negative
M, 0.595, 0.455, 0.15, 0.886, 0.4315, 0.201, 0.223, negative
M, 0.6, 0.475, 0.15, 0.99, 0.386, 0.2195, 0.3105, negative
M, 0.605, 0.47, 0.18, 1.1155, 0.479, 0.2565, 0.321, negative
F, 0.61, 0.46, 0.145, 1.1185, 0.478, 0.2945, 0.2985, negative
M, 0.625, 0.505, 0.185, 1.1565, 0.52, 0.2405, 0.3535, negative
