@relation kr-vs-k-zero_vs_eight
@attribute White_king_col {a, b, c, d, e, f, g, h}
@attribute White_king_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute White_rook_col {a, b, c, d, e, f, g, h}
@attribute White_rook_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute Black_king_col {a, b, c, d, e, f, g, h}
@attribute Black_king_row {1, 2, 3, 4, 5, 6, 7, 8}
@attribute Class {positive, negative}
@data
c,1,a,3,a,1,positive
c,1,a,4,a,1,positive
c,1,a,5,a,1,positive
c,1,a,6,a,1,positive
c,1,a,7,a,1,positive
c,1,a,8,a,1,positive
c,2,a,3,a,1,positive
c,2,a,4,a,1,positive
c,2,a,4,a,2,positive
c,2,a,5,a,1,positive
c,2,a,5,a,2,positive
c,2,a,6,a,1,positive
c,2,a,6,a,2,positive
c,2,a,7,a,1,positive
c,2,a,7,a,2,positive
c,2,a,8,a,1,positive
c,2,a,8,a,2,positive
c,3,a,1,c,1,positive
c,3,e,1,c,1,positive
c,3,f,1,c,1,positive
c,3,g,1,c,1,positive
c,3,h,1,c,1,positive
d,3,a,1,d,1,positive
d,3,b,1,d,1,positive
d,3,f,1,d,1,positive
d,3,g,1,d,1,positive
d,3,h,1,d,1,positive
a,1,a,2,d,1,negative
a,1,a,2,f,1,negative
a,1,a,2,h,1,negative
a,1,b,2,d,1,negative
a,1,b,2,f,1,negative
a,1,b,2,h,1,negative
a,1,d,2,f,1,negative
a,1,e,2,g,1,negative
a,1,e,2,h,1,negative
a,1,f,2,c,1,negative
a,1,f,2,d,1,negative
a,1,f,2,h,1,negative
a,1,g,2,c,1,negative
a,1,g,2,d,1,negative
a,1,g,2,e,1,negative
a,1,h,2,c,1,negative
a,1,h,2,d,1,negative
a,1,h,2,e,1,negative
a,1,h,2,f,1,negative
b,1,a,3,d,2,negative
b,1,a,3,f,1,negative
b,1,a,3,f,2,negative
b,1,a,3,g,1,negative
b,1,a,3,g,2,negative
b,1,a,3,h,1,negative
b,1,a,3,h,2,negative
b,1,b,3,d,2,negative
b,1,b,3,f,1,negative
b,1,b,3,f,2,negative
b,1,b,3,g,1,negative
