@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@data
95.0, 32.0, 138.0, 111.0, 48.0
41.0, 72.0, 111.0, 48.0, 23.0
21.0, 111.0, 23.0, 19.0, 27.0
32.0, 48.0, 19.0, 27.0, 59.0
72.0, 23.0, 27.0, 59.0, 129.0
138.0, 19.0, 59.0, 129.0, 129.0
48.0, 59.0, 129.0, 58.0, 27.0
23.0, 129.0, 58.0, 27.0, 19.0
27.0, 58.0, 19.0, 24.0, 46.0
59.0, 27.0, 24.0, 46.0, 112.0
129.0, 19.0, 46.0, 112.0, 144.0
129.0, 24.0, 112.0, 144.0, 73.0
58.0, 46.0, 144.0, 73.0, 30.0
27.0, 112.0, 73.0, 30.0, 20.0
19.0, 144.0, 30.0, 20.0, 19.0
24.0, 73.0, 20.0, 19.0, 37.0
46.0, 30.0, 19.0, 37.0, 92.0
144.0, 19.0, 92.0, 152.0, 93.0
73.0, 37.0, 152.0, 93.0, 36.0
20.0, 152.0, 36.0, 20.0, 18.0
19.0, 93.0, 20.0, 18.0, 29.0
37.0, 36.0, 18.0, 29.0, 71.0
92.0, 20.0, 29.0, 71.0, 146.0
152.0, 18.0, 71.0, 146.0, 117.0
36.0, 71.0, 117.0, 46.0, 23.0
20.0, 146.0, 46.0, 23.0, 18.0
18.0, 117.0, 23.0, 18.0, 22.0
29.0, 46.0, 18.0, 22.0, 52.0
71.0, 23.0, 22.0, 52.0, 128.0
146.0, 18.0, 52.0, 128.0, 142.0
46.0, 52.0, 142.0, 62.0, 26.0
23.0, 128.0, 62.0, 26.0, 17.0
18.0, 142.0, 26.0, 17.0, 19.0
52.0, 26.0, 19.0, 37.0, 100.0
128.0, 17.0, 37.0, 100.0, 158.0
142.0, 19.0, 100.0, 158.0, 86.0
62.0, 37.0, 158.0, 86.0, 32.0
26.0, 100.0, 86.0, 32.0, 17.0
17.0, 158.0, 32.0, 17.0, 17.0
19.0, 86.0, 17.0, 17.0, 27.0
37.0, 32.0, 17.0, 27.0, 72.0
158.0, 17.0, 72.0, 154.0, 118.0
17.0, 154.0, 43.0, 20.0, 15.0
17.0, 118.0, 20.0, 15.0, 21.0
27.0, 43.0, 15.0, 21.0, 47.0
72.0, 20.0, 21.0, 47.0, 128.0
154.0, 15.0, 47.0, 128.0, 150.0
118.0, 21.0, 128.0, 150.0, 63.0
43.0, 47.0, 150.0, 63.0, 24.0
20.0, 128.0, 63.0, 24.0, 16.0
15.0, 150.0, 24.0, 16.0, 17.0
21.0, 63.0, 16.0, 17.0, 33.0
47.0, 24.0, 17.0, 33.0, 92.0
128.0, 16.0, 33.0, 92.0, 166.0
150.0, 17.0, 92.0, 166.0, 95.0
63.0, 33.0, 166.0, 95.0, 33.0
